codigo_escola,regiao,uf,dependencia_administrativa,localizacao,etapa_ensino,numero_alunos,numero_professores,pct_prof_ensino_superior,tem_biblioteca,tem_lab_informatica,tem_lab_ciencias,tem_quadra_esportes,tem_internet,tem_agua_potavel,tem_energia_eletrica,tem_jornada_estendida,taxa_aprovacao,nivel_socioeconomico,ideb
100000,Sudeste,RJ,Privada,Urbana,Anos Iniciais,86,4,0.855,1,1,1,0,1,1,1,1,0.831,6.26,8.11
100001,Sudeste,MG,Municipal,Urbana,Ensino Médio,216,13,0.692,0,1,1,0,0,0,1,0,0.785,4.23,6.06
100002,Sudeste,MG,Municipal,Urbana,Ensino Médio,95,4,0.667,0,0,0,0,1,1,1,0,0.873,4.24,6.14
100003,Sudeste,ES,Municipal,Urbana,Anos Iniciais,122,5,0.585,0,0,0,0,1,1,1,0,0.919,3.67,5.85
100004,Norte,RR,Estadual,Urbana,Anos Finais,277,13,0.795,0,1,1,1,1,1,1,0,0.851,4.54,7.13
100005,Centro-Oeste,GO,Estadual,Urbana,Anos Iniciais,76,5,0.74,0,0,1,0,1,1,1,0,0.834,3.53,6.51
100006,Nordeste,PI,Municipal,Urbana,Ensino Médio,259,16,0.739,0,0,0,1,1,1,1,1,0.917,4.05,6.28
100007,Nordeste,CE,Privada,Urbana,Anos Iniciais,406,23,0.762,1,0,1,1,1,1,1,0,0.729,6.19,7.0
100008,Centro-Oeste,GO,Municipal,Rural,Anos Iniciais,106,9,0.681,0,0,0,0,1,0,1,0,0.773,2.49,5.01
100009,Sudeste,ES,Municipal,Rural,Anos Iniciais,215,12,0.668,1,1,0,0,0,0,0,0,0.841,3.2,5.88
100010,Sudeste,MG,Estadual,Urbana,Anos Iniciais,91,7,0.952,0,1,1,0,0,1,1,0,0.901,3.92,6.58
100011,Norte,AM,Estadual,Urbana,Anos Finais,47,3,0.753,1,1,0,0,1,1,1,0,0.889,3.86,7.03
100012,Sudeste,MG,Estadual,Rural,Anos Iniciais,297,15,0.733,1,0,0,0,0,0,1,1,0.803,3.62,5.76
100013,Sudeste,SP,Estadual,Urbana,Anos Finais,160,11,0.812,0,1,1,1,1,1,1,1,0.756,3.94,7.33
100014,Nordeste,SE,Privada,Urbana,Anos Iniciais,219,17,0.861,1,1,1,1,1,1,1,0,0.904,6.0,7.86
100015,Nordeste,BA,Estadual,Urbana,Anos Finais,333,22,0.731,0,1,0,1,0,0,1,0,0.812,4.38,6.3
100016,Nordeste,RN,Municipal,Rural,Anos Iniciais,202,10,0.744,1,0,0,0,1,1,1,0,0.845,2.26,6.05
100017,Sul,RS,Municipal,Urbana,Anos Finais,987,49,0.786,0,0,0,0,1,1,0,1,0.856,4.62,7.47
100018,Norte,PA,Estadual,Rural,Ensino Médio,819,39,0.764,0,1,0,1,0,1,1,0,0.899,1.8,5.36
100019,Sudeste,SP,Municipal,Rural,Ensino Médio,392,33,0.838,0,0,0,0,1,0,0,0,0.872,2.4,5.43
100020,Nordeste,AL,Municipal,Urbana,Anos Finais,134,9,0.736,0,1,0,0,0,1,0,0,0.834,2.4,5.5
100021,Norte,TO,Municipal,Rural,Anos Iniciais,67,4,0.755,0,0,1,0,0,1,0,1,0.906,3.1,6.13
100022,Norte,AP,Estadual,Urbana,Anos Iniciais,178,8,0.799,1,1,0,0,1,1,1,0,0.91,4.0,7.2
100023,Sudeste,ES,Estadual,Urbana,Anos Iniciais,226,9,0.827,0,1,0,1,1,1,1,0,0.739,4.47,6.69
100024,Sul,RS,Estadual,Urbana,Anos Iniciais,103,6,0.854,1,0,1,0,1,1,1,1,0.823,4.98,7.14
100025,Centro-Oeste,MT,Municipal,Urbana,Anos Iniciais,278,12,0.652,0,0,0,0,1,1,1,0,0.813,3.59,6.4
100026,Sudeste,MG,Municipal,Rural,Anos Finais,401,24,0.805,0,0,0,0,0,0,0,0,0.845,2.88,5.67
100027,Sudeste,RJ,Municipal,Urbana,Anos Iniciais,583,29,0.697,1,1,0,0,1,0,0,0,0.959,4.43,6.48
100028,Nordeste,PB,Privada,Urbana,Anos Iniciais,354,30,0.856,1,1,1,1,1,1,1,0,1.0,5.32,8.21
100029,Nordeste,SE,Municipal,Urbana,Anos Iniciais,271,14,0.845,1,1,0,1,1,1,1,1,0.942,2.12,6.03
100030,Sudeste,SP,Municipal,Rural,Anos Finais,287,20,0.777,0,0,0,0,0,0,0,0,0.79,2.28,4.83
100031,Centro-Oeste,MT,Privada,Urbana,Anos Iniciais,502,23,0.867,0,1,1,1,1,1,1,0,0.915,4.98,7.71
100032,Sudeste,RJ,Municipal,Rural,Anos Finais,103,4,0.88,0,0,0,0,0,1,0,0,0.718,2.1,4.8
100033,Sul,SC,Municipal,Rural,Anos Iniciais,154,6,0.67,0,0,0,1,1,1,1,0,0.869,2.0,5.18
100034,Sudeste,MG,Estadual,Urbana,Anos Finais,171,9,0.842,0,1,0,0,1,1,1,0,0.979,5.98,6.89
100035,Centro-Oeste,MS,Estadual,Rural,Anos Iniciais,389,19,0.7,0,0,0,0,1,1,0,0,0.748,2.19,5.01
100036,Sudeste,MG,Municipal,Urbana,Anos Iniciais,315,21,0.734,1,0,0,0,1,1,0,0,0.714,2.67,5.47
